source_id,target_id
3102,3567
505,2952
2220,861
3348,894
68,3440
2497,1380
1943,3100
68,3875
2586,3138
1711,658
1596,1925
3876,2204
449,676
910,256
3356,1535
85,3553
3816,151
426,3549
155,3017
1412,205
1661,3906
3855,3811
1652,1939
2975,778
2756,1076
2026,3670
2513,956
3871,161
1238,3902
2239,3276
1470,403
796,2625
1711,1044
2536,3921
1622,3790
1814,2329
1974,1544
997,2242
68,2204
124,830
3341,2979
2385,837
2702,1931
3131,3511
997,3290
1770,13
1974,3772
2969,3711
3132,2465
3823,3032
3212,2575
2457,315
1290,920
2559,3352
2274,1431
847,54
2304,2242
2660,764
200,1337
2636,9
3137,2814
1596,1018
2274,3790
1596,1796
883,2764
1605,1029
3593,2371
3593,3863
2271,903
1831,3513
3277,1117
1728,2085
2071,2450
2516,180
280,1483
2475,3179
2274,2307
3947,88
1398,2616
991,2810
3820,3474
68,2241
3275,3610
3137,2606
3545,1577
1290,2558
2291,470
203,1010
3162,2500
3165,3658
3907,1231
2253,3941
68,339
2369,3967
1605,3206
2274,2950
1786,1270
2274,161
2304,66
3823,1734
2095,2353
1652,214
3785,3713
68,1394
3871,1108
1604,3445
3078,1966
888,2862
483,2695
2636,448
2373,2500
2783,2002
783,227
3798,2931
1661,82
1836,635
3005,3493
3829,2034
1652,2324
1711,137
200,3354
2744,1681
2376,1932
840,3106
191,1906
3750,2785
56,3050
1354,3736
410,3052
505,122
68,3554
3151,3787
1786,3728
3242,417
997,307
1744,1595
2438,2954
2308,2102
1623,823
3332,2093
1165,665
2640,2245
3034,1499
1290,693
1596,3111
2376,1223
3526,2512
68,3478
68,3919
1373,1910
3034,1896
812,865
1687,2629
3845,44
331,195
1652,3907
1229,3434
3589,1791
1394,3042
200,905
2291,1216
2636,1476
2345,741
3820,1279
1302,2796
556,2044
634,1287
3034,3339
2308,1590
1359,2359
1290,3510
3907,1230
200,2336
68,180
2596,591
3871,3145
1711,2353
270,3721
2513,1180
1080,2943
2780,1597
3034,1051
3845,1512
270,1562
1267,775
517,476
1596,961
1711,3784
1290,2515
911,2159
3034,100
68,3776
581,1645
428,353
1093,1134
505,3811
3593,1421
3947,2294
1814,2495
3823,3294
200,782
1202,206
3514,103
1412,3202
3277,2402
2026,219
1007,3066
191,1243
2071,380
43,383
3938,934
1711,3409
2251,2899
1005,2659
3005,2186
1974,423
3233,3833
1252,2558
315,1230
169,448
787,333
3542,3279
3034,2960
900,2631
509,1339
2602,2182
1623,838
1740,919
779,189
3820,500
2760,2606
553,1528
3356,3345
1157,1653
3171,3265
1622,3105
459,45
2722,1535
2518,1482
2487,1594
3165,3073
2586,3434
2501,2809
395,4
1569,419
1724,2980
2975,1097
997,2642
2703,2034
2038,450
3518,2562
1661,2459
240,406
1631,1029
2549,71
3377,456
1693,3487
3102,2701
2457,2394
3137,3535
382,1166
1623,2845
2660,3603
1650,1863
1081,3062
2234,1466
3949,120
3005,593
2900,3834
3596,1294
2373,425
3146,81
1630,865
1246,2706
275,2466
590,764
3561,1782
2888,445
117,3671
3151,622
48,2523
68,1305
3798,2959
1532,1134
505,1776
2126,2463
1625,2923
2071,2606
840,2461
1650,3691
3373,1390
1503,2717
2069,2995
1130,1117
1711,2884
2911,1674
1490,3444
1711,679
3395,2146
1323,3188
3453,336
1814,2533
1806,3331
1596,36
48,1642
1320,3121
779,536
2385,2856
3866,1156
1652,1166
545,3152
